candidate,excitation,resolution,lifetime_class,state_meaning,alternative_resolution_states,verdict,reason,id
Ar,ground,resolved,not_applicable,electronic ground state,,pass,candidate representation is well formed,Ar@ground
Ar(4s),electronic,lumped,mixed_metastable_resonant,4s electronic-state manifold (lumped; mixed metastable/resonant),,pass,candidate representation is well formed,Ar@4s
O(¹D₂),electronic,resolved,metastable,resolved spectroscopic state ¹D₂,,pass,candidate representation is well formed,O@1d2
O(¹S),electronic,resolved,metastable,resolved spectroscopic state ¹S,,pass,candidate representation is well formed,O@1s
O2,ground,resolved,not_applicable,electronic ground state,,pass,candidate representation is well formed,O2@ground
O2(a¹Δg),electronic,resolved,metastable,resolved spectroscopic state a¹Δg,O2*,pass,candidate representation is well formed,O2@a1dg
O2(b¹Σg+),electronic,resolved,metastable,resolved spectroscopic state b¹Σg+,O2*,pass,candidate representation is well formed,O2@b1sg+
e,electron,resolved,not_applicable,free electron,,pass,,e
Ar(m),electronic,lumped,metastable,metastable electronic-state manifold (lumped),,pass,candidate representation is well formed,Ar@metastable
Ar(r),electronic,lumped,resonant_radiative,resonant radiative electronic-state manifold (lumped),,pass,candidate representation is well formed,Ar@resonant
Ar+,ground,resolved,not_applicable,electronic ground state,,pass,candidate representation is well formed,Ar+@ground
Ar-,ground,resolved,not_applicable,electronic ground state,,pass,candidate representation is well formed,Ar-@ground
O,ground,resolved,not_applicable,electronic ground state,,pass,candidate representation is well formed,O@ground
O+,ground,resolved,not_applicable,electronic ground state,,pass,candidate representation is well formed,O+@ground
O-,ground,resolved,not_applicable,electronic ground state,,pass,candidate representation is well formed,O-@ground
O2(v),vibrational,lumped,not_applicable,vibrationally excited manifold (lumped),,pass,candidate representation is well formed,O2@vibrational
O2*,electronic,lumped,unspecified,electronic-state manifold (lumped; lifetime unspecified),O2(a¹Δg); O2(b¹Σg+),pass,candidate representation is well formed,O2@electronic
O2+,ground,resolved,not_applicable,electronic ground state,,pass,candidate representation is well formed,O2+@ground
O2-,ground,resolved,not_applicable,electronic ground state,,pass,candidate representation is well formed,O2-@ground
